date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ddpg_mean,ddpg_sd
2019-09-05,1063600.173461426,1049706.4534284703,1064125.9817883132,1062811.7135675668,1052910.315553592,1058630.9275598738,6078.480693301758
2019-09-06,1051841.152385129,1042270.0548611712,1052652.0744239374,1049130.015661677,1049094.8925889689,1048997.6379841766,3653.1585463890174
2019-09-09,1052983.8170957323,1041965.4795123104,1051820.7791876236,1048909.8749257894,1048739.7041354186,1048883.930971375,3829.3756341835897
2019-09-10,1046369.1236273106,1034830.1447955662,1047744.9064842416,1044612.6589789112,1045288.0641728354,1043768.979611773,4593.2760432261775
2019-09-11,1037417.7947319356,1027531.5181526896,1040659.3906871766,1036919.4912743202,1035999.2898101568,1035705.4969312556,4378.288539973137
2019-09-12,1037548.3556331376,1028836.0690089666,1040597.4089787406,1037313.7749041396,1037250.0430031325,1036309.1303056234,3941.225342654647
2019-09-13,1036438.0809085744,1027315.3771242932,1040133.371512098,1035669.3020897474,1036641.0586115024,1035239.4380492431,4250.350439181712
2019-09-16,1025642.3455584076,1023343.229823978,1035255.1769120508,1030461.7264847744,1032457.192055244,1029431.9341668909,4371.638502324371
2019-09-17,1029342.4783680892,1028637.613198386,1039483.6132636104,1034779.5649779268,1036446.9721097532,1033738.0483835529,4165.813610823434
2019-09-18,1031454.4905553304,1030012.474588031,1039781.666486922,1036309.19726485,1038017.6173331512,1035115.0892456569,3769.9911279663934
2019-09-19,1029504.9335825203,1028799.9156197075,1037476.6219989688,1033386.9696606472,1036766.5608152066,1033187.00033541,3579.3357722213123
2019-09-20,1031491.3660054568,1030436.4323565948,1039819.5986084756,1034803.0747158187,1038541.3027748254,1035018.3548922343,3713.3034697048506
2019-09-23,1036775.6372614732,1035098.6434862548,1046913.735065722,1040839.6436225652,1045264.8964990769,1040978.5111870185,4601.2228623862875
2019-09-24,1037187.939926512,1036391.3694537216,1047917.9387877722,1041954.4727998148,1045447.8777981172,1041779.9197531876,4500.720291527687
2019-09-25,1038623.3077832656,1039353.3415381572,1049061.6353366158,1041290.8353963898,1045583.7860820388,1042782.5812272936,3963.7814066320097
2019-09-26,1027540.5285480662,1030784.8780027176,1042149.937081557,1028752.3466517492,1035047.0785657916,1032854.9537699763,5302.1097719867275
2019-09-27,1027656.803236205,1032208.2953133248,1041767.2015684852,1027690.9025572758,1035514.1376431858,1032967.4680636954,5301.744683041765
2019-09-30,1026284.8150584456,1030042.8288321416,1038879.2637553436,1025112.4192077584,1032777.9593236564,1030619.4572354691,4946.364846379165
2019-10-01,1025591.4035427276,1026160.2826781224,1034720.8736094492,1024884.5400078612,1032093.6389049982,1028690.1477486318,3960.769866200714
2019-10-02,1023177.7832993512,1027542.8686255938,1036099.8069041506,1025102.6807780028,1031480.3265096352,1028680.6932233467,4631.631027020215
2019-10-03,1021300.5603027608,1029949.9989206964,1038664.7947828984,1027581.3596843017,1031168.6739738628,1029733.077532904,5614.638039985809
2019-10-04,1027065.3916399592,1033970.4342558268,1043393.9362346386,1032986.2623491518,1035594.1597550856,1034602.0368469324,5255.330108470681
2019-10-07,1028836.9946107824,1036726.5385157922,1046445.5077723626,1037817.076789072,1037683.1242142464,1037501.8483804509,5582.151367206478
2019-10-08,1022854.7875859664,1031413.9366137844,1040514.571773836,1031439.6243249136,1031285.1266883068,1031501.6093973614,5586.759555722257
2019-10-09,1021762.611509189,1032766.056724564,1038919.060349666,1033073.5154233098,1032702.0989365428,1031844.6685886544,5563.975218912917
2019-10-10,1020121.2714798474,1033244.6144414475,1037086.3563441852,1031401.1308298368,1030911.1513323856,1030552.9048855405,5649.744977888028
2019-10-11,1014220.5865241546,1028688.9144490104,1031278.4376039818,1024728.7223126258,1023745.03760819,1024532.3396995924,5827.136772859991
2019-10-14,1014173.0450621562,1024475.539720979,1030288.1455446808,1024088.0109659098,1022322.6057164796,1023069.469402041,5192.839633794773
2019-10-15,1015557.223532553,1025712.1812979964,1031279.974677721,1024934.8971316568,1023306.7497166567,1024158.2052713167,5068.324272331427
2019-10-16,1013419.4727182888,1020724.0779268844,1028918.8727985608,1024900.226569826,1022513.3595670738,1022095.2019161268,5133.298385030395
2019-10-17,1014048.4126382484,1022015.71331774,1029904.0211025577,1025861.1441540836,1023682.6676554658,1023102.3917736191,5241.469346934083
2019-10-18,1014188.3782526545,1022213.6285940215,1030309.1237534122,1026034.7575422212,1025000.03630411,1023549.184889284,5355.151280661737
2019-10-21,1012972.7307240647,1021531.478541514,1029094.9226945144,1025325.1223744308,1023010.218569276,1022386.89458076,5354.952366884035
2019-10-22,1013007.538616466,1018091.1940412046,1025897.8651070916,1021872.05404542,1023142.0830539851,1020402.1469728336,4469.70984602612
2019-10-23,1013171.9141924768,1019340.338363886,1028297.4587751726,1023803.9230146965,1024717.4009646176,1021866.2070621699,5200.303636577351
